Term,Canada
Canada appeared in 127 documents,Total words(m),Frequency(f)
Article #0,112,5
Article #1,112,2
Article #2,93,3
Article #3,79,3
Article #4,126,2
Article #5,115,2
Article #6,122,1
Article #7,81,1
Article #8,96,1
Article #9,108,3
Article #11,114,1
Article #12,109,2
Article #14,113,2
Article #15,122,7
Article #16,110,5
Article #17,118,4
Article #19,121,1
Article #20,84,2
Article #21,110,2
Article #23,115,4
Article #24,115,5
Article #25,119,1
Article #27,118,7
Article #28,124,6
Article #29,116,3
Article #30,112,4
Article #31,116,6
Article #32,111,1
Article #34,113,3
Article #36,116,1
Article #39,53,3
Article #40,106,2
Article #41,80,2
Article #42,118,2
Article #43,123,1
Article #44,131,4
Article #45,111,4
Article #46,122,3
Article #47,103,1
Article #48,120,1
Article #49,122,4
Article #50,121,4
Article #51,112,2
Article #52,106,3
Article #54,114,2
Article #55,110,1
Article #56,114,4
Article #57,74,2
Article #58,117,1
Article #59,122,2
Article #60,112,5
Article #61,93,1
Article #62,93,2
Article #63,90,3
Article #64,104,2
Article #65,107,3
Article #66,116,4
Article #67,112,2
Article #68,112,3
Article #69,102,3
Article #70,104,3
Article #71,113,2
Article #72,73,2
Article #73,111,2
Article #74,85,2
Article #76,133,2
Article #78,122,3
Article #79,112,4
Article #80,112,1
Article #81,124,2
Article #82,109,2
Article #83,126,1
Article #84,125,1
Article #85,120,3
Article #86,118,1
Article #88,102,3
Article #89,129,2
Article #91,129,3
Article #92,111,1
Article #93,118,1
Article #94,117,3
Article #95,119,2
Article #96,133,2
Article #97,106,3
Article #98,117,2
Article #99,114,2
Article #139,103,2
Article #150,106,3
Article #156,115,1
Article #203,111,1
Article #214,96,1
Article #218,115,2
Article #220,101,1
Article #231,103,1
Article #239,100,1
Article #243,111,1
Article #254,109,1
Article #259,112,1
Article #262,95,1
Article #275,105,3
Article #277,105,3
Article #286,90,1
Article #290,99,3
Article #292,117,3
Article #293,82,1
Article #295,104,1
Article #299,95,2
Article #304,105,2
Article #307,123,1
Article #311,111,1
Article #328,104,1
Article #344,86,3
Article #345,134,1
Article #349,78,2
Article #354,98,1
Article #359,92,2
Article #362,88,1
Article #366,80,3
Article #368,93,1
Article #377,115,3
Article #380,109,1
Article #384,83,1
Article #388,86,2
Article #390,114,1
Article #393,89,3
Article #394,81,1
Article #397,124,2
