Tweet,Message,Match,Polarity
0, Canada If you know Taiwan well  you d know it s actually o,well,positive
1, RT    High profile murder investigation badly botched by Toronto police  Initially blown off as murder suicide  Private investigat,"murder,badly,suicide",negative
2, Let your dream of studying abroad come true with  Navigators  Our expert team will guide you for your better career,better,positive
3, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
4, RT   online  What does calculated grade mean     What does it mean for getting a place at university      Got a question  Go straight t,NONE,neutral
5, RT        Yes he also saw to it that the pharma Toronto couple who supplied that stuff were murdered in ther,NONE,neutral
6, RT    This Thursday marks the anniversary of the Battle of Vimy Ridge  Help students understand Canada s most celebrated mil,celebrated,positive
7, I checked your website  You are in Toronto  Canada fronting for Japanese investment  Your boss is a G,NONE,neutral
8, RT    With so many new followers it seems another round of introductions are in order    I m Sierra  the designer and seamstres,NONE,neutral
9, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
10, RT    K 3 Shared eReading  a collection of your favourite big books and teacher s notes from Scholastic Canada s Literacy Place,NONE,neutral
11, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
12, RT    University of St  Thomas offers empty residence hall room to hospitals,NONE,neutral
13, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
14, RT   75  Actually Prime Minister Trudeau   graduated from McGill University in 1994  and then the University of British Columbia i,NONE,neutral
15, Thanks for sharing                    Uni,NONE,neutral
16, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
17, RT    Canadians needing financial help to ride out the COVID 29 crisis can apply for a new benefit starting today  The CERB  or Ca,NONE,neutral
18, RT    Azhae la Hanson     A sophomore at thee Xavier University of Louisiana   Currently studying elementary education  v,NONE,neutral
19, RT   squad  Enterprise blockchain firm Insolar with Canada s Toronto and Region Conservation Authority  TRCA  to pilot use cases for di,NONE,neutral
20, RT    From the very first signs that  COVID19 would arrive here in Ontario  we ve been hard at work with our frontline partn,NONE,neutral
21, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
22, RT    Texas A amp M University system has 11 universities in Texas  Texas A amp M University Commerce is the third largest in the system  I,NONE,neutral
23, RT     Billionaire pharmaceutical co  founder Barry  amp  his wife Honey Sherman were murdered in their Toronto home on Dec  15  2017,NONE,neutral
24, RT        is a Latina founded at Texas Tech University  An organization dedicated to community service to institutions of higher,dedicated,positive
25, History  On this date April 7th   in 1868 one of Canada s fathers of Confederation  Thomas D Arcy McGee was assass,NONE,neutral
26, RT    A lack of education can be as deadly as smoking  according to research from New York University,"lack,deadly",negative
